measurment_date,bag,ploidy,treatment,number,length_mm
6/25/2024,1,triploid,control,81,29
6/25/2024,1,triploid,control,82,23
6/25/2024,1,triploid,control,83,28
6/25/2024,1,triploid,control,84,35
6/25/2024,1,triploid,control,85,23
6/25/2024,1,triploid,control,86,42
6/25/2024,1,triploid,control,87,33
6/25/2024,1,triploid,control,88,26
6/25/2024,1,triploid,control,89,35
6/25/2024,1,triploid,control,90,33
6/25/2024,1,triploid,control,91,28
6/25/2024,1,triploid,control,92,25
6/25/2024,1,triploid,control,93,25
6/25/2024,1,triploid,control,94,30
6/25/2024,1,triploid,control,95,31
6/25/2024,1,triploid,control,96,28
6/25/2024,1,triploid,control,97,27
6/25/2024,1,triploid,control,98,27
6/25/2024,1,triploid,control,99,31
6/25/2024,1,triploid,control,100,36
6/25/2024,2,triploid,treatment,1,37
6/25/2024,2,triploid,treatment,2,47
6/25/2024,2,triploid,treatment,3,46
6/25/2024,2,triploid,treatment,4,30
6/25/2024,2,triploid,treatment,5,32
6/25/2024,2,triploid,treatment,6,35
6/25/2024,2,triploid,treatment,7,30
6/25/2024,2,triploid,treatment,8,30
6/25/2024,2,triploid,treatment,9,35
6/25/2024,2,triploid,treatment,10,54
6/25/2024,2,triploid,treatment,11,35
6/25/2024,2,triploid,treatment,12,29
6/25/2024,2,triploid,treatment,13,41
6/25/2024,2,triploid,treatment,14,36
6/25/2024,2,triploid,treatment,15,29
6/25/2024,2,triploid,treatment,16,48
6/25/2024,2,triploid,treatment,17,46
6/25/2024,2,triploid,treatment,18,27
6/25/2024,2,triploid,treatment,19,38
6/25/2024,2,triploid,treatment,20,31
6/25/2024,2,triploid,treatment,21,39
6/25/2024,2,triploid,treatment,22,30
6/25/2024,2,triploid,treatment,23,33
6/25/2024,2,triploid,treatment,24,54
6/25/2024,2,triploid,treatment,25,44
6/25/2024,2,triploid,treatment,26,26
6/25/2024,2,triploid,treatment,27,33
6/25/2024,2,triploid,treatment,28,41
6/25/2024,2,triploid,treatment,29,50
6/25/2024,2,triploid,treatment,30,33
6/25/2024,2,triploid,treatment,31,37
6/25/2024,2,triploid,treatment,32,36
6/25/2024,2,triploid,treatment,33,29
6/25/2024,2,triploid,treatment,34,31
6/25/2024,2,triploid,treatment,35,45
6/25/2024,2,triploid,treatment,36,31
6/25/2024,2,triploid,treatment,37,35
6/25/2024,2,triploid,treatment,38,36
6/25/2024,2,triploid,treatment,39,32
6/25/2024,2,triploid,treatment,40,28
6/25/2024,2,triploid,treatment,41,33
6/25/2024,2,triploid,treatment,42,30
6/25/2024,2,triploid,treatment,43,37
6/25/2024,2,triploid,treatment,44,40
6/25/2024,2,triploid,treatment,45,27
6/25/2024,2,triploid,treatment,46,38
6/25/2024,2,triploid,treatment,47,36
6/25/2024,2,triploid,treatment,48,26
6/25/2024,2,triploid,treatment,49,26
6/25/2024,2,triploid,treatment,50,31
6/25/2024,2,triploid,treatment,51,28
6/25/2024,2,triploid,treatment,52,38
6/25/2024,2,triploid,treatment,53,26
6/25/2024,2,triploid,treatment,54,29
6/25/2024,2,triploid,treatment,55,27
6/25/2024,2,triploid,treatment,56,48
6/25/2024,2,triploid,treatment,57,37
6/25/2024,2,triploid,treatment,58,32
6/25/2024,2,triploid,treatment,59,27
6/25/2024,2,triploid,treatment,60,25
6/25/2024,2,triploid,treatment,61,29
6/25/2024,2,triploid,treatment,62,26
6/25/2024,2,triploid,treatment,63,26
6/25/2024,2,triploid,treatment,64,28
6/25/2024,2,triploid,treatment,65,34
6/25/2024,2,triploid,treatment,66,48
6/25/2024,2,triploid,treatment,67,32
6/25/2024,2,triploid,treatment,68,25
6/25/2024,2,triploid,treatment,69,27
6/25/2024,2,triploid,treatment,70,26
6/25/2024,2,triploid,treatment,71,25
6/25/2024,2,triploid,treatment,72,25
6/25/2024,2,triploid,treatment,73,26
6/25/2024,2,triploid,treatment,74,48
6/25/2024,2,triploid,treatment,75,29
6/25/2024,2,triploid,treatment,76,24
6/25/2024,2,triploid,treatment,77,25
6/25/2024,2,triploid,treatment,78,24
6/25/2024,2,triploid,treatment,79,30
6/25/2024,2,triploid,treatment,80,27
6/25/2024,2,triploid,treatment,81,30
6/25/2024,2,triploid,treatment,82,31
6/25/2024,2,triploid,treatment,83,52
6/25/2024,2,triploid,treatment,84,29
6/25/2024,2,triploid,treatment,85,26
6/25/2024,2,triploid,treatment,86,26
6/25/2024,2,triploid,treatment,87,24
6/25/2024,2,triploid,treatment,88,23
6/25/2024,2,triploid,treatment,89,23
6/25/2024,2,triploid,treatment,90,26
6/25/2024,2,triploid,treatment,91,23
6/25/2024,2,triploid,treatment,92,24
6/25/2024,2,triploid,treatment,93,50
6/25/2024,2,triploid,treatment,94,23
6/25/2024,2,triploid,treatment,95,27
6/25/2024,2,triploid,treatment,96,23
6/25/2024,2,triploid,treatment,97,24
6/25/2024,2,triploid,treatment,98,28
6/25/2024,2,triploid,treatment,99,25
6/25/2024,2,triploid,treatment,100,26
6/25/2024,3,diploid,control,1,47
6/25/2024,3,diploid,control,2,50
6/25/2024,3,diploid,control,3,38
6/25/2024,3,diploid,control,4,26
6/25/2024,3,diploid,control,5,49
6/25/2024,3,diploid,control,6,30
6/25/2024,3,diploid,control,7,50
6/25/2024,3,diploid,control,8,55
6/25/2024,3,diploid,control,9,24
6/25/2024,3,diploid,control,10,23
6/25/2024,3,diploid,control,11,37
6/25/2024,3,diploid,control,12,37
6/25/2024,3,diploid,control,13,32
6/25/2024,3,diploid,control,14,41
6/25/2024,3,diploid,control,15,29
6/25/2024,3,diploid,control,16,37
6/25/2024,3,diploid,control,17,27
6/25/2024,3,diploid,control,18,41
6/25/2024,3,diploid,control,19,36
6/25/2024,3,diploid,control,20,37
6/25/2024,3,diploid,control,21,21
6/25/2024,3,diploid,control,22,32
6/25/2024,3,diploid,control,23,24
6/25/2024,3,diploid,control,24,47
6/25/2024,3,diploid,control,25,41
6/25/2024,3,diploid,control,26,50
6/25/2024,3,diploid,control,27,53
6/25/2024,3,diploid,control,28,21
6/25/2024,3,diploid,control,29,40
6/25/2024,3,diploid,control,30,59
6/25/2024,3,diploid,control,31,48
6/25/2024,3,diploid,control,32,27
6/25/2024,3,diploid,control,33,42
6/25/2024,3,diploid,control,34,31
6/25/2024,3,diploid,control,35,32
6/25/2024,3,diploid,control,36,35
6/25/2024,3,diploid,control,37,35
6/25/2024,3,diploid,control,38,51
6/25/2024,3,diploid,control,39,44
6/25/2024,3,diploid,control,40,34
6/25/2024,3,diploid,control,41,42
6/25/2024,3,diploid,control,42,33
6/25/2024,3,diploid,control,43,34
6/25/2024,3,diploid,control,44,40
6/25/2024,3,diploid,control,45,57
6/25/2024,3,diploid,control,46,28
6/25/2024,3,diploid,control,47,21
6/25/2024,3,diploid,control,48,18
6/25/2024,3,diploid,control,49,46
6/25/2024,3,diploid,control,50,35
6/25/2024,3,diploid,control,51,48
6/25/2024,3,diploid,control,52,42
6/25/2024,3,diploid,control,53,47
6/25/2024,3,diploid,control,54,23
6/25/2024,3,diploid,control,55,22
6/25/2024,3,diploid,control,56,29
6/25/2024,3,diploid,control,57,45
6/25/2024,3,diploid,control,58,29
6/25/2024,3,diploid,control,59,25
6/25/2024,3,diploid,control,60,60
6/25/2024,3,diploid,control,61,41
6/25/2024,3,diploid,control,62,36
6/25/2024,3,diploid,control,63,51
6/25/2024,3,diploid,control,64,27
6/25/2024,3,diploid,control,65,42
6/25/2024,3,diploid,control,66,38
6/25/2024,3,diploid,control,67,22
6/25/2024,3,diploid,control,68,35
6/25/2024,3,diploid,control,69,48
6/25/2024,3,diploid,control,70,55
6/25/2024,3,diploid,control,71,22
6/25/2024,3,diploid,control,72,52
6/25/2024,3,diploid,control,73,44
6/25/2024,3,diploid,control,74,36
6/25/2024,3,diploid,control,75,32
6/25/2024,3,diploid,control,76,32
6/25/2024,3,diploid,control,77,33
6/25/2024,3,diploid,control,78,29
6/25/2024,3,diploid,control,79,24
6/25/2024,3,diploid,control,80,37
6/25/2024,3,diploid,control,81,34
6/25/2024,3,diploid,control,82,55
6/25/2024,3,diploid,control,83,44
6/25/2024,3,diploid,control,84,26
6/25/2024,3,diploid,control,85,34
6/25/2024,3,diploid,control,86,33
6/25/2024,3,diploid,control,87,37
6/25/2024,3,diploid,control,88,54
6/25/2024,3,diploid,control,89,35
6/25/2024,3,diploid,control,90,21
6/25/2024,3,diploid,control,91,50
6/25/2024,3,diploid,control,92,59
6/25/2024,3,diploid,control,93,31
6/25/2024,3,diploid,control,94,34
6/25/2024,3,diploid,control,95,35
6/25/2024,3,diploid,control,96,55
6/25/2024,3,diploid,control,97,41
6/25/2024,3,diploid,control,98,29
6/25/2024,3,diploid,control,99,25
6/25/2024,3,diploid,control,100,37
6/25/2024,4,diploid,treatment,1,43
6/25/2024,4,diploid,treatment,2,34
6/25/2024,4,diploid,treatment,3,32
6/25/2024,4,diploid,treatment,4,35
6/25/2024,4,diploid,treatment,5,40
6/25/2024,4,diploid,treatment,6,24
6/25/2024,4,diploid,treatment,7,47
6/25/2024,4,diploid,treatment,8,43
6/25/2024,4,diploid,treatment,9,38
6/25/2024,4,diploid,treatment,10,64
6/25/2024,4,diploid,treatment,11,33
6/25/2024,4,diploid,treatment,12,56
6/25/2024,4,diploid,treatment,13,30
6/25/2024,4,diploid,treatment,14,39
6/25/2024,4,diploid,treatment,15,26
6/25/2024,4,diploid,treatment,16,49
6/25/2024,4,diploid,treatment,17,32
6/25/2024,4,diploid,treatment,18,30
6/25/2024,4,diploid,treatment,19,57
6/25/2024,4,diploid,treatment,20,36
6/25/2024,4,diploid,treatment,21,37
6/25/2024,4,diploid,treatment,22,41
6/25/2024,4,diploid,treatment,23,56
6/25/2024,4,diploid,treatment,24,42
6/25/2024,4,diploid,treatment,25,45
6/25/2024,4,diploid,treatment,26,38
6/25/2024,4,diploid,treatment,27,32
6/25/2024,4,diploid,treatment,28,36
6/25/2024,4,diploid,treatment,29,46
6/25/2024,4,diploid,treatment,30,31
6/25/2024,4,diploid,treatment,31,55
6/25/2024,4,diploid,treatment,32,32
6/25/2024,4,diploid,treatment,33,26
6/25/2024,4,diploid,treatment,34,44
6/25/2024,4,diploid,treatment,35,49
6/25/2024,4,diploid,treatment,36,28
6/25/2024,4,diploid,treatment,37,26
6/25/2024,4,diploid,treatment,38,37
6/25/2024,4,diploid,treatment,39,34
6/25/2024,4,diploid,treatment,40,56
6/25/2024,4,diploid,treatment,41,36
6/25/2024,4,diploid,treatment,42,49
6/25/2024,4,diploid,treatment,43,50
6/25/2024,4,diploid,treatment,44,41
6/25/2024,4,diploid,treatment,45,36
6/25/2024,4,diploid,treatment,46,60
6/25/2024,4,diploid,treatment,47,47
6/25/2024,4,diploid,treatment,48,65
6/25/2024,4,diploid,treatment,49,56
6/25/2024,4,diploid,treatment,50,30
6/25/2024,4,diploid,treatment,51,47
6/25/2024,4,diploid,treatment,52,34
6/25/2024,4,diploid,treatment,53,46
6/25/2024,4,diploid,treatment,54,30
6/25/2024,4,diploid,treatment,55,35
6/25/2024,4,diploid,treatment,56,57
6/25/2024,4,diploid,treatment,57,32
6/25/2024,4,diploid,treatment,58,36
6/25/2024,4,diploid,treatment,59,56
6/25/2024,4,diploid,treatment,60,44
6/25/2024,4,diploid,treatment,61,44
6/25/2024,4,diploid,treatment,62,45
6/25/2024,4,diploid,treatment,63,21
6/25/2024,4,diploid,treatment,64,40
6/25/2024,4,diploid,treatment,65,42
6/25/2024,4,diploid,treatment,66,50
6/25/2024,4,diploid,treatment,67,26
6/25/2024,4,diploid,treatment,68,45
6/25/2024,4,diploid,treatment,69,51
6/25/2024,4,diploid,treatment,70,44
6/25/2024,4,diploid,treatment,71,46
6/25/2024,4,diploid,treatment,72,45
6/25/2024,4,diploid,treatment,73,36
6/25/2024,4,diploid,treatment,74,37
6/25/2024,4,diploid,treatment,75,31
6/25/2024,4,diploid,treatment,76,38
6/25/2024,4,diploid,treatment,77,46
6/25/2024,4,diploid,treatment,78,35
6/25/2024,4,diploid,treatment,79,38
6/25/2024,4,diploid,treatment,80,33
6/25/2024,4,diploid,treatment,81,53
6/25/2024,4,diploid,treatment,82,29
6/25/2024,4,diploid,treatment,83,34
6/25/2024,4,diploid,treatment,84,29
6/25/2024,4,diploid,treatment,85,36
6/25/2024,4,diploid,treatment,86,52
6/25/2024,4,diploid,treatment,87,28
6/25/2024,4,diploid,treatment,88,29
6/25/2024,4,diploid,treatment,89,41
6/25/2024,4,diploid,treatment,90,36
6/25/2024,4,diploid,treatment,91,28
6/25/2024,4,diploid,treatment,92,32
6/25/2024,4,diploid,treatment,93,54
6/25/2024,4,diploid,treatment,94,25
6/25/2024,4,diploid,treatment,95,31
6/25/2024,4,diploid,treatment,96,48
6/25/2024,4,diploid,treatment,97,40
6/25/2024,4,diploid,treatment,98,27
6/25/2024,4,diploid,treatment,99,35
6/25/2024,4,diploid,treatment,100,31
